"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","626","Click en producto MacBook y toma captura","chromium","Wed Oct 08 01:23:26 UTC 2025","passed","Wed Oct 08 01:23:27 UTC 2025","Suite de tests - OpenCart","example.spec.ts","",""
"","501","Búsqueda de producto iPhone","chromium","Wed Oct 08 01:23:25 UTC 2025","passed","Wed Oct 08 01:23:26 UTC 2025","Suite de tests - OpenCart","example.spec.ts","",""
